"Eaton et al.","2013","South Africa","Cross-sectional",,"Yes","MSMW",,,,,,,,,,,,"No",,,,,,,"substance_use",,"IPV",,,,,,"CSA",,,,,,,,"alcohol_use",,,,,,"sexual_risk",,,,,"violence",,,,,,,,,,,,,,,,,,,,,"stimulants",,,"marijuana",,,,"inhalants",,"Past 4 months",,,,,"sexual",,,,,"Past 4 months","Criteria","physical_IPV",,,,,,,"Past 4 months",,,,,,,,,,,,,,,,,,,,,,,,,,"Definition","Having experienced sexual abuse as a child",,,,,,,,,,,,"frequency_intensity",,,,"Past 4 months",,,,,,,,"CAS",,,,"CVS",,,,,"Past 4 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_MSMW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1203",,"No",,"No",,"In multivariate analysis, self-reported positive HIV status and childhood sexual abuse were associated with higher odds of reporting sex with both men and women. Furthermore recent interpartner violence, recent sexual violence and childhood sexual abuse were significantly inter-associated but were not associated with sexual risk or substance/alcohol use",,,,,,
"Yu et al.","2013","China","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression","substance_use",,"IPV",,,,,,,,,,,,,,"alcohol_use",,,"tobacco_use",,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","CESD-12","10","stimulants","ecstasy",,"marijuana","depressants",,"opioids",,,"Lifetime",,,,,,,,,,,"Scale","physical_IPV",,,"psychological_IPV",,,,"Continuous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"consumption",,"Past 3 months",,,,,"Number of cigarettes smoked daily in the past three months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,"outcome_substance_sex",,,,,,,,,,,,"Lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"404","29.7","No",,"No",,"High prevalence of smoking was found in this sample of Chinese MSM and the level of smoking was associated with alcohol use, substance use and depressive symptoms. Furthermore, sexual risk taking was positively associated with smoking, alcohol use,  substance use and IPV",,,,,,
"Herrick et al.","2013","USA","Cross-sectional",,"Yes",,,,,,"HIVMSM",,,,,,,"No",,,,,,"depression","substance_use",,"IPV",,,"sex_comp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"stress",,,,,,,,,"Scale","CESD","16","stimulants",,,,,,,,,"Past 6 months",,,,,,,,,,,"Criteria","physical_IPV",,,"psychological_IPV",,,,"Past 5 years",,,,,,,,,,,,,,,,,,,,,,"Scale","The Compulsive Sexual Behavior Inventory","Average score higher than occasionally experiencing compulsive behaviors across all 10 items",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Personnal 14-item 5-point Likert scale measuring stress related to various daily tasks or conditions in the past 12 months",,,,,,,,,,,,,,,,"outcome_ill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Endorsing any 2 or more of the 5 syndemic conditions studied",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1551","52","No",,"No",,"In this life-course approach of syndemic production among MSM, current forms of adversity (i.e. event discrimination, current marginalization and general life satisfaction) accounted for the largest contribution to the model while early life events also contributed significantly with childhood victimization and self-perception of failing masculinity attainment remaining significantly associated to the syndemic outcome variable after controlling for all other factors",,,,,,
"Halkitis et al.","2013","USA","Cross-sectional",,"Yes",,"YMSM",,,,,,,,,,,"No",,,,,,"depression","substance_use","PTSD",,,"suicide",,,,,,,,,,,,"alcohol_use",,,,,,"sexual_risk",,,,,,,"loneliness",,,,,,,,,,,,,,,,"Scale","BDI-II","Continuous","stimulants","ecstasy","hallucinogens","marijuana","depressants",,"opioids","inhalants",,"Past month","Scale","Trauma Awareness & Treatment Center scale","Continuous",,,,,,,,,,,,,,,,,,,"suicidal_thoughts","suicide_attempts",,,"Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"consumption",,"Past month",,,,,,,,"CAS",,,"COS",,,,,,"Past 3 months",,,,,,,,,,,"Scores on the UCLA Loneliness Scale (continuous)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEM",,,,,"598",,"No",,"No",,"A second-order model consisting of drug use and mental health burden was associated with a first-order model for unprotected sex, both indicated by numerous variables",,,,,,
"Kurtz et al.","2012","USA","Cross-sectional",,"No",,,,,,,,,,,,,"Yes",,,,"HIVMSM_dis",,,,,,,,,,,,,,,,,,,,,,,,,,"substance_use_disorder",,,,"violence",,,,,,,,,,"escape","distress",,,,,,,,,,,,,,,,,,,,,,,"physical","sexual",,,"psychological",,"Lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Criteria","Clinical diagnosis based on the DSM-IV",,,,,,,,,,,,,,,,,,,,,,,"Scores equal or greater than 22 on the Cognitive Escape Scale","Use of the General Mental Distress Scale",,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,,,,,"outcome_serodiscodant_CAS",,,,,,,,,,,"Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"504","39.1","No",,"No",,"Serosorting among MSM living with HIV was positively associated with lower levels of cognitive escape and higher levels of two resilience factors : coping self-efficacy and positive coping skills. Among HIV-negative men, serosorting was positively associated with lower levels of cognitive escape, violence victimization and severe mental distress as well as with higher levels of coping self-efficacy and social engagements and with lower levels of negative coping skills",,,,"resilience",,
"Jie et al.","2012","China","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,"IPV","binge",,,,,"CSA","polysubstance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","CESD","23",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV",,,"psychological_IPV",,,,,"At least one episode","Past 6 months",,,,,,,,,,,,,,,,,,,,,,,,"Definition","Any unwanted sexual experience before 16 years old with someone at least 5 years older",,"More than one category of substance use","Marijuana included","Past 6 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,"outcome_HIV",,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,"outcome_number_partners",,,,,,,,,,,,,"Past 6 months",,,,,"Laboratory-confirmed test or quick testing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,"mediation",,,,,,"522",,"No",,"No",,"Experiencing a greater number of syndemic conditions was associated with sexual risk behaviors and HIV infection and the relationship between syndemic conditions and HIV infection seems to be partially mediated by sexual risk behaviors",,,,,,
"Dyer et al.","2012","USA","Cross-sectional",,"Yes",,,"BMSM",,,,,,,,,,"No",,,,,,"depression","substance_use",,"IPV","binge",,"sex_comp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"stress",,,,,,,,,"Scale","CESD","16","stimulants","ecstasy",,,,,"opioids","inhalants",,"Past 6 months",,,,,,,,,,,"Criteria","physical_IPV",,,"psychological_IPV",,,,"Past 5 years","At least one episode","Past 6 months",,,,,,,,,,,,,,,,,,,,"Scale","The Compulsive Sexual Behavior Inventory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Personnal 14-item 5-point Likert scale measuring stress related to various daily tasks or conditions in the past 12 months",,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,"outcome_syndemic",,,,,"Criteria",,"outcome_CAS",,,,,,,,,,,,,,,"Past 6 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"301","47","No",,"No",,"Gay-related and non-gay-related victimization in school, perception of failures in masculinity, social connectedness, internalized homophobia, discrimination and life satisfaction were associated with having 2 or more syndemic conditions. Furthermore, having 3 or more syndemic conditions was associated with condomless anal sex",,,,,,
"Parsons et al.","2012","USA","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,"IPV",,,"sex_comp",,,"CSA","polysubstance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","CESD","23",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV",,,"psychological_IPV",,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","Kalichman Sexual Compulsivity Scale","24",,"Definition","Any unwanted sexual experience before 17 years old with someone at least 10 years older",,"At least 3 categories of substance use","Marijuana included","Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,"outcome_HIV",,,,,,,,,,,,,,,,,,,"Criteria",,,,,,"outcome_serodiscodant_CAS",,,,,,,,,,,"Past 3 months",,,,,"Self-report of HIV status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"669","37.7","No",,"No",,"Sexual compulsivity was significantly associated with depression and IPV in multivariate analysis, as well as with self-reported positive HIV status and serodiscordant condomless anal sex. Furthermore, experiencing a greater number of syndemic conditions was associated with higher odds of engaging in sexual risk behaviors and reporting a positive HIV status",,,,,,
"Storholm et al.","2011","USA","Cross-sectional",,"Yes",,"YMSM",,,,,,,,,,,"No",,,,,,,"substance_use",,,,,,,,,,,,,,,,"alcohol_use",,,"tobacco_use",,,"sexual_risk",,,,,,,,,,,"chemsex",,,,,,,,,,,,,,,"stimulants","ecstasy","hallucinogens","marijuana","depressants",,"opioids","inhalants",,"Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"intoxication",,,"Not specified",,,,,"Currently smoking cigarettes",,,"CAS",,,"COS",,,,,,"Past 3 months",,,,,,,,,,,,,"chem_stimulants","chem_ecstasy","chem_depressants","chem_ketamine","chem_opioids","chem_poppers","chem_erection","chem_alcohol","Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"578",,"No",,"No",,"YMSM who reported smoking cigarettes were more likely to use marijuana, cocaine, inhalant nitrates, ecstasy, methamphetamine, hallucinogens, Adderall/Ritalin without prescription and to use alcohol until intoxication. Furthermore, they were also more likely to ingage in sexual risk behaviors such as use of substance before or during sex",,,,,,
"Hugh Klein","2011","USA","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression","substance_use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"esteem",,,,,,,,,,,,,,"Scale","CESD","Continuous","stimulants","ecstasy","hallucinogens","marijuana","depressants",,"opioids",,,"Past month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Continuous score on the Rosenberg Self-Esteem Scale",,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,,,,,,,,,,,"outcome_COS",,"Past month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEM",,,,,"332","43.7","No",,"Yes","Attitudes towards condom is one of the key factor contributing to condomless sex and, subsequently, HIV infection. This variable is predicted by low self-esteem, as condom use represents a self-protecting mechanism, as well as by sexual preferences, substance use, race and education. Furthermore, childhood maltreatment, particularly in the form of emotional neglect, has a negative influence on self-esteem, thus indirectly contributing to sexual risk taking.","Emotional neglect in childhood and demographic factors influenced self-esteem which, in turn, along with substance use and several demographic and psychological functioning variables, influenced attitudes toward condom. This last variable predicted engagement in condomless anal and oral sex",,,,,,
"Mustanski et al.","2007","USA","Cross-sectional",,"Yes",,"YMSM",,,,,,,,,,,,,,,,,,"substance_use",,"IPV","binge",,,,,,,,,,,,,,,,,,,,,,,,"violence",,,,,,,,,,,"distress",,,,,,,,,,"stimulants","ecstasy","hallucinogens","marijuana","depressants",,,,,"Past 12 months",,,,,"sexual",,,,,"Lifetime","Criteria","physical_IPV","sexual_IPV",,"psychological_IPV",,,,"Lifetime","At least one per week, every week","Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Score greater than 62 on the Global Severity Index of the BSI-18",,,,,,,,"outcome_sexual_risk",,"outcome_HIV",,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,"outcome_number_partners",,,,,,,,,,,,,"Past 3 months for multiple partners ; past 12 months for CAS",,,,,"Self-report of HIV status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"310","20.3","No",,"No",,"Experiencing a greater number of syndemic conditions was associated with higher odds of condomless anal sex, multiple sex partners and reported positive HIV status",,,,,,
"Oginni et al.","2019","Nigeria","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression","substance_use",,"IPV",,"suicide",,,,,,,,,,,,"alcohol_use",,,"tobacco_use",,,,,,,,,,,,,,,,,,,,"childhood",,,,,,"Scale","Zung Self Rating Depression Scale","40","stimulants",,,"marijuana",,,"opioids",,,"Lifetime",,,,,,,,,,,"Criteria","physical_IPV","sexual_IPV",,"psychological_IPV",,,,"Past year",,,,,,"PANSI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"consumption",,"Lifetime",,,,,"Tobacco use, lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Self-report of childhood physical abuse and/or neglect",,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Scale",,,,,,,,,,,,,,,,"outcome_HIV_scale","Past month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"81",,"No",,"No",,"Compared to straight men, MSM had greater odds of having experienced childhood adversity, IPV, depressive symptoms and suicidal thoughts. Furthermore experiencing a greater number of syndemic condition was associated with higher odds of engaging in sexual risk behaviors",,,,,,
"Chuang et al.","2018","Taiwan","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,,,,"IPV",,,,,,,,,,,,,,,,"discrimination",,,,,"substance_use_disorder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","physical_IPV","sexual_IPV",,"psychological_IPV","gay-related_IPV",,,"Endorsement of any one item",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scores greater than the third quartile on the HIV stigma scale ",,,,,,,,,,,,,,"Scale","Drug Abuse Screening Test (DAST-10)","Endorsement of any one item",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,"outcome_HIV",,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,"outcome_number_partners",,,,,,,,,,,,,"Past 3 months",,,,,"Self-report of HIV status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"200","27.1","No",,"No",,"Experiencing a greater number of syndemic conditions was associated with higher odds of self-reported postive HIV status but not with condomless anal sex nor number of partners",,,,,,
"Ferlatte","2018","Canada","Cross-sectional",,"No",,,,,,,,,,,,,"Yes","MSMW_dis",,,,,"depression","substance_use",,,"binge","suicide",,"anxiety",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Criteria","Being on medication for depression in the last 12 months",,"stimulants","ecstasy","hallucinogens",,"depressants",,,,,"Past 12 months",,,,,,,,,,,,,,,,,,,,"At least one per week, every week","Past 12 months","suicidal_thoughts","suicide_attempts",,,"Past 12 months",,,,"Criteria",,,,,"medication",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,"outcome_syndemic",,,,,"Criteria",,,,,,"outcome_serodiscodant_CAS",,,,,,,,,,,"Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"8382",,"No",,"No",,"Gay men were more likely to experiment two or more syndemic conditions compared to bisexual men and female-partnered MSM. This difference was mainly driven by higher odds of consuming party drugs and being treated for anxiety/depression. Furthermore, being single, younger than 45 years old, of Indigenous ancestry, earning less than $60,000 per year and living in an urban environment were also associated with higher odds of experimenting two or more syndemic conditions",,,,,"intersectionality",
"Tan et al.","2016","Canada","Case series",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,,,,,,,,,,"AUD",,,,,,,,,,,,"substance_use_disorder",,,,,,,,,,,,,,,,,,,,,,"Scale","CESD","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AUDIT-10","8",,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","DUDIT","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32",,"No",,"No",,"A high burden of mental health problem was found in this sample of MSM PrEP Users. Using self-administered questionnaire was a feasible and useful strategy for screening those conditions",,,,,,
"Moeller et al.","2011","USA","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression","substance_use",,,,,,"anxiety",,,,,,,,,,,,,,,,,,,,,,,,,,"hostility",,,,,,,,,,,,,"Scale","Depression subscale of the Brief Symptom Inventory","Not specified","stimulants","ecstasy","hallucinogens",,"depressants",,,,,"Past 4 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale",,,,,,,"BSI",,,"Not specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hostility subscale of the Brief Symptoms Inventory",,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,,,,,"outcome_serodiscodant_CAS",,,,,,,,,,,"Past 4 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"450",,"No",,"No",,"A greater number of syndemic conditions was associated with condomless anal sex with both HIV-positive and HIV-negative partners but not with HIV status",,,,,,
"Ng et al.","2020","Malaysia","Cross-sectional",,"No",,,,,,,,,,,,,"Yes",,,,"HIVMSM_dis",,"depression",,,"IPV",,"suicide",,,,"CSA",,,,,,,,,,,,,,,,,,,,,,,,,"chemsex",,,,,,,,,,,,"Scale","CESD","16",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV","sexual_IPV",,,,,,"Lifetime",,,,,"SBQ-R",,,,,,,,,,,,,,,,,,,,,"Definition","Any unwanted sexual experience before 18 years old",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"chem_stimulants","chem_ecstasy","chem_depressants","chem_ketamine",,"chem_poppers",,,"Lifetime",,,,,,,,,,,,,"outcome_sexual_risk",,"outcome_HIV",,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,,,,,,,,,,,,,"Past 3 months",,,,,"Self-report of HIV status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"622","28.2","No",,"No",,"In this sample of Malaysian MSM, condomless anal sex was associated with depression and chemsex while self-reported HIV status was associated with depression, suicidal risk, chemsex and a history of CSA. Furthermore, self-reported HIV status was associated with the number of syndemic conditions",,,,,,
"Reisner et al.","2016","USA","Cross-sectional",,"Yes",,,,,,,,,,,"TMSM",,"No",,,,,,"depression",,,"IPV","binge",,,"anxiety",,"CSA","polysubstance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"childhood",,,,,,"Criteria","Self-report of a medical diagnosis",,,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV","sexual_IPV",,,,,,"Lifetime","At least one episode","Past 6 months",,,,,,,,,"Criteria",,,,,,,,"self-report",,,,,,,"Definition","Any unwanted sexual experience before 15 years old",,"At least 3 categories of substance use","Marijuana included","Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Self-report of childhood physical abuse",,,,,,,"outcome_sexual_risk",,,,,,,,"outcome_STI",,,,,,,,,,,,,"Criteria",,"outcome_CAS",,"outcome_number_partners",,,,,,,"outcome_CVS",,,,,,"Past 6 months",,,,,,,,,,,,,,"chlamydia","gonorrhea","syphilis",,,"herpes",,,"Self-reported","Lifetime",,,,,,,,,,,,,,,,"score",,,,,,,"moderation",,,,,,,"173","29.4","No",,"No",,"In this sample of transgender MSM, syndemic conditions were associated with higher odds of engaging in condomless vaginal and/or anal sex and this association was fully moderated by social gender affirmation, suggesting similar sexual risk patterns for TMSM who have socially afirmed their gender identity as for cisgender MSM",,,,,,
"Stall et al.","2003","USA","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,"IPV",,,,,,"CSA","polysubstance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","CESD","23",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV","sexual_IPV",,"psychological_IPV",,,,"Past 5 years",,,,,,,,,,,,,,,,,,,,,,,,,,"Definition","Any unwanted sexual experience before 17 years old with someone at least 10 years older",,"At least 3 categories of substance use","Marijuana included","Past 6 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,"outcome_HIV",,,,,,,,,,,,,,,,,,,"Criteria",,,,,,"outcome_serodiscodant_CAS",,,,,,,,,,,"4 most recent sex partners",,,,,"Self-report of HIV status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"2881",,"No",,"No",,"A greater number of syndemic conditions was associated with positive HIV status and sexual risk behaviors",,,,,,
"Blondeel et al.","2021","Portugal","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sexual_risk",,,,,,,,,,,"chemsex",,,,,,,"venues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"number_partners","CAS",,,,,,,,,"Past 12 months",,,,,,,,,,,,,,,,,,"chem_poppers",,"chem_alcohol","Last sexual intercourse",,,,,,,"Frequency of visiting gay venues to meet male sexual partners",,,,,,,,"outcome_HIV",,,,,,"outcome_STI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Self-report of HIV status",,,,,,,,,,,,,,,,"not_specified_STI","Self-reported","Lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,,,"cluster",,"1046",,"No",,"No",,"6 clusters with diverse patterns of sexual risk taking and STI/HIV vulnerability were identified. Among these clusters, the one with the highest HIV prevalence was the oldest one, reported the most condomless anal sex and had sex the most frequently with transgender partners, women and sex workers.",,,,,,
"Achterbergh et al.","2021","Netherlands","Randomized controlled trials",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,"IPV",,,"sex_comp","anxiety",,,,,"AUD",,,,,,,"discrimination",,,,,"substance_use_disorder",,,,,,,,,,,,,,,,,,"ADHD","alexithymia",,,"Scale","HADS","8",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV","sexual_IPV",,"psychological_IPV",,,,"Past 5 years",,,,,,,,,,,"Scale",,,,,,,,,"HADS","8","Scale","Kalichman Sexual Compulsivity Scale","24",,,,,,,,,"AUDIT-10","8",,,,,,,,,,,,,"Not specified",,,,,,,,,,,,,,"Scale","DUDIT","8",,,,,,,,,,,,,,,,,,,,,,,,,,"Score equal or greater than 4 on the Adult ADHD Self Report Scale","Score equal or greater than 52 on the Toronto Alexithymia Scale (TAS-20)",,,,"outcome_sexual_risk",,"outcome_HIV",,,,,,"outcome_STI",,,,,,,,,"outcome_help",,,,"Criteria",,,,"outcome_number_partners",,,,,,"outcome_casual_CAS",,,,,,,,,,,,"Laboratory-confirmed test or quick testing",,,,,,,,,"chlamydia","gonorrhea","syphilis","hepatitis_B","hepatitis_C",,,,"Laboratory-confirmed",,,,,,,,,,"Receiving tailored feedback and help-seeking advice on mental health screening","Increasing help-seeking behaviors (primary endpoint) as well as reducing sexual risk behaviors and STI incidence (secondary endpoint)","Participants that didn't received results of their mental health screening nor tailored feedback or help-seeking advice","76","79","12 months",,"score",,,,,,,,,,,,,,"155",,"No",,"No",,"This syndemic-based intervention to enhance help-seeking among high-risk MSM failed to improve help-seeking behaviours, STI incidence and sexual risk. Nonetheless, the extremely high incidence of STI incidence and mental health-related problems call for other type of interventions.",,,,,,
"Turpin et al.","2020","USA","Longitudinal",,"Yes",,,"BMSM",,,,,,,,,,"No",,,,,,"depression","substance_use",,"IPV",,,,,,,,,,"internalised_homophobia",,,,,,"discrimination",,,,,,"social_support",,,,,,,,,,,,,,,,,,,"trauma",,"Scale","CESD",,"stimulants",,,,"depressants",,"opioids","inhalants",,"Past 6 months",,,,,,,,,,,"Criteria","physical_IPV","sexual_IPV",,"psychological_IPV",,,,"Past 6 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Score equal or greater than 7 on a 7-items version of the Internalized Homophobia Scale (IHP)",,,,,,,,,,,,"Having been subjected to sexuality and/or race-based violence in the past 6 months (threats and physical violence)",,,,,,,,,,,,,,,,,,,"Criteria","Personal 6-items scale",,,,,,,,,,,,,,,,,,,,,,,,"Use of the Davidson Trauma Scale",,,,,,,,,,,,,,,,,,,,,"outcome_substance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12",,,,,,,,,,,,,,"LTA","1063",,"No",,"No",,"Using latent transition analysis, three profiles of high-risk syndemic status with different proportions of syndemic factors and a low risk profile were identified. Moreover, social support strongly moderated the association between these profiles and substance use at 12 months in that BMSM with better social support had more chance to stay in the low risk profile or to transition from high risk to low risk.",,,,,,
"Shuper et al.","2020","Canada","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression","substance_use",,,,,,,,,,,"AUD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","CESD-10","10","stimulants",,"hallucinogens","marijuana","depressants",,,"inhalants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AUDIT-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_PrEP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"adherence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,"product_term",,,,,,,,,"141","37.9","No",,"No",,"Problematic alcohol use and cocaine use were found to be additively associated with PrEP nonadherence but no synergy were found between these two conditions. Furthermore, depression was not shown to be associated with PrEP nonadherence in this sample",,,,,,
